t,thermal,batt,cur0,cur6,engine_pcpu,engine_rss_kb,memavail_kb,swapfree_kb
500,2,421,1036800,806400,0.0,3.6M,4893224,7859960,
505,2,421,1036800,806400,0.0,3.8M,4865212,7870200,
510,2,421,1036800,806400,0.0,3.7M,4882464,7841112,
515,2,421,902400,806400,0.0,3.6M,4869972,7814816,
520,2,421,806400,806400,0.0,3.7M,4861956,7819448,
525,2,421,1036800,806400,0.0,3.4M,4856832,7824884,
530,2,423,806400,806400,0.0,3.5M,4827404,7833704,
535,2,423,806400,806400,0.0,3.6M,4827600,7846580,
540,2,423,806400,806400,0.0,3.6M,4817676,7850448,
545,2,423,806400,806400,0.0,3.5M,4799796,7864312,
550,2,423,902400,806400,0.0,3.7M,4763496,7888704,
555,2,423,806400,806400,0.0,3.3M,4751440,7894416,
560,2,423,902400,806400,0.0,3.6M,4775944,7864996,
565,2,423,806400,806400,0.0,3.6M,4765284,7864500,
570,2,423,806400,806400,0.0,3.6M,4757880,7866824,
575,2,423,806400,806400,0.0,3.5M,4734032,7873904,
580,2,422,1036800,806400,0.0,3.7M,4726164,7874976,
585,2,422,806400,806400,0.0,3.7M,4719536,7876256,
590,2,422,902400,806400,0.0,3.5M,4716088,7878056,
595,2,422,806400,806400,0.0,3.7M,4696608,7889992,
600,2,422,1555200,806400,0.0,3.7M,4680304,7988248,
605,2,421,1036800,806400,0.0,3.7M,4715472,7986456,
610,2,421,1036800,806400,0.0,3.6M,4707820,7989576,
615,2,421,806400,806400,0.0,3.6M,4702768,8010632,
620,2,421,902400,806400,0.0,3.7M,4703756,8087520,
625,2,421,806400,806400,0.0,3.6M,4783408,8179980,
630,2,420,806400,806400,0.0,3.7M,4772012,8184120,
635,2,420,1036800,806400,0.0,3.7M,4769324,8184632,
640,2,420,806400,806400,0.0,3.6M,4754212,8188472,
645,2,420,1036800,806400,0.0,3.6M,4746252,8188728,
650,2,420,902400,806400,0.0,3.7M,4756880,8187200,
655,2,420,806400,806400,0.0,3.5M,4743724,8201424,
660,2,420,806400,806400,0.0,3.6M,4737268,8193232,
665,2,420,1036800,806400,0.0,3.6M,4733744,8193488,
670,2,420,1401600,1248000,0.0,3.6M,4666388,8224084,
675,2,417,1401600,1248000,0.0,3.4M,4549244,8303872,
680,2,417,1900800,806400,0.0,3.7M,4263144,8370176,
685,2,417,1152000,806400,0.0,3.6M,6038500,9760228,
690,2,417,1036800,806400,0.0,3.6M,6013552,9823840,
695,2,417,806400,806400,0.0,3.6M,6197984,9824352,
700,2,417,806400,806400,0.0,3.7M,6258824,9876144,
705,2,417,806400,806400,0.0,3.9M,6254956,9876400,
710,2,417,806400,806400,0.0,3.6M,6254276,9876656,
715,2,417,691200,806400,0.0,3.6M,6252780,9876912,
720,2,417,806400,806400,0.0,3.8M,6257968,9878232,
725,2,414,806400,806400,0.0,3.7M,6251884,9878744,
730,2,414,806400,806400,0.0,3.7M,6247020,9879360,
735,2,414,806400,806400,0.0,3.6M,6244572,9879360,
740,2,414,806400,806400,0.0,3.8M,6241520,9880896,
745,2,414,806400,806400,0.0,3.7M,6236236,9881152,
750,2,414,691200,806400,0.0,3.5M,6233748,9881408,
755,2,414,806400,806400,0.0,3.7M,6231264,9881664,
760,2,414,806400,806400,0.0,3.6M,6228204,9882512,
765,2,414,806400,806400,0.0,3.7M,6224644,9882512,
770,2,412,806400,806400,0.0,3.7M,6230376,9882856,
775,2,412,691200,806400,0.0,3.4M,6231428,9882856,
780,2,412,691200,806400,0.0,3.7M,6234692,9882880,
785,1,412,806400,806400,0.0,3.5M,6057904,9926040,
790,1,412,902400,806400,0.0,3.7M,6049100,9926048,
795,1,412,806400,806400,0.0,3.5M,5973132,9940648,
800,1,412,806400,806400,0.0,3.5M,5944104,9946432,
805,1,412,806400,806400,0.0,3.7M,5947852,9946452,
810,1,412,691200,806400,0.0,3.7M,5960252,9946460,
815,1,412,806400,806400,0.0,3.8M,5959408,9948508,
820,1,409,806400,806400,0.0,3.8M,5961844,9949020,
825,1,409,691200,806400,0.0,3.6M,5957684,9949020,
830,1,409,806400,806400,0.0,3.7M,5960128,9950060,
835,1,409,806400,806400,0.0,3.6M,6020720,9964400,
840,1,409,806400,806400,0.0,3.7M,6031552,9964400,
845,1,408,691200,806400,0.0,3.6M,6032976,9964560,
850,1,408,806400,806400,0.0,3.7M,6032104,9964640,
855,1,408,806400,806400,0.0,3.8M,6030244,9964640,
860,1,408,806400,806400,0.0,3.6M,6030060,9967200,
865,1,407,691200,806400,0.0,3.6M,6035328,9967200,
870,1,407,806400,806400,0.0,3.8M,6032392,9967744,
875,1,407,806400,806400,0.0,3.6M,6029788,9968528,
880,1,407,691200,806400,0.0,3.8M,6049716,9969040,
885,1,407,806400,806400,0.0,3.8M,6043640,9969328,
890,1,407,2361600,1248000,0.0,3.8M,6020416,10042368,
895,1,406,1036800,806400,0.0,3.6M,5767592,10258232,
900,1,406,1036800,806400,0.0,3.7M,5820364,10259784,
905,1,406,1036800,806400,0.0,3.6M,5813152,10259796,
910,1,406,1036800,806400,0.0,3.7M,5798008,10260308,
915,1,406,806400,806400,0.0,3.5M,5821316,10276692,
920,1,403,806400,806400,0.0,3.4M,5803656,10277460,
925,1,403,691200,806400,0.0,3.7M,5786908,10277460,
930,1,403,1747200,806400,0.0,3.6M,5772896,10278764,
935,1,403,1747200,806400,0.0,3.5M,5760860,10278764,
940,1,403,806400,806400,0.0,3.7M,5764136,10279656,
945,1,403,902400,806400,0.0,3.8M,5764524,10279656,
950,1,403,806400,806400,0.0,3.6M,5760152,10279940,
955,1,403,1747200,806400,0.0,3.6M,5745688,10289016,
960,1,403,1747200,806400,0.0,3.8M,5730896,10289016,
965,1,403,1747200,806400,0.0,3.6M,5727792,10289088,
970,1,403,806400,806400,0.0,3.6M,5712580,10290168,
975,1,403,1747200,806400,0.0,3.8M,5701740,10290440,
